no,question,type
1,I enjoy fixing broken items.,R
2,I am interested in using tools or machinery.,R
3,I prefer practical application over theory.,R
4,I enjoy assembling or building things.,R
5,I am interested in working outdoors rather than in an office.,R
6,I like understanding how equipment or technology works.,R
7,I like solving challenging math problems.,I
8,I am interested in finding out the root cause of a problem.,I
9,I enjoy research activities or experiments.,I
10,I like analyzing data before making a decision.,I
11,I am interested in learning how a system or technology works.,I
12,I enjoy finding solutions to complex problems.,I
13,I like drawing or designing things.,A
14,I enjoy creating creative artwork.,A
15,I am interested in art, music, film, or photography.,A
16,I like expressing ideas in unique ways.,A
17,I enjoy creating visual or multimedia content.,A
18,I enjoy activities that require high imagination.,A
19,I enjoy helping other people solve their problems.,S
20,I feel comfortable working in groups.,S
21,I like teaching or explaining things to others.,S
22,I am interested in social or humanitarian activities.,S
23,I enjoy listening to and understanding other people's feelings.,S
24,I feel satisfied when I can help others develop.,S
25,I like leading groups or organizations.,E
26,I am interested in running a business or enterprise.,E
27,I feel confident speaking in front of a large audience.,E
28,I like convincing other people of an idea.,E
29,I am interested in making important decisions within a team.,E
30,I enjoy looking for new opportunities to achieve goals.,E
31,I like creating well-organized schedules and plans.,C
32,I am meticulous and thorough when completing tasks.,C
33,I feel comfortable following established procedures.,C
34,I like organizing data or documents in a structured manner.,C
35,I enjoy work that requires high precision.,C
36,I enjoy ensuring that everything goes according to plan.,C
